Word,Frequency,PMI,R_Entropy,L_Entropy
骨,848,80,6.226444617525242,6.285620675612144
便,844,80,6.101984917886254,3.2322581676551945
时,838,80,7.109925553610464,6.693301918375943
加,832,80,5.441887229470684,5.6430919128506325
曰,826,80,7.301622088945212,4.486840449378012
或,817,80,7.550207889466927,6.697849998250748
地,800,80,2.654691360280221,3.843998884342574
仁,798,80,4.842390873069785,2.773644080948441
根,796,80,5.308739245723491,5.7514192760334835
脏,795,80,3.9449542034020775,3.7192032675596733
手,792,80,5.338585689510356,5.914563553148849
百,789,80,4.417923895599937,6.2511857403892135
口,781,80,5.970817239440623,5.853322786471366
及,777,80,8.001185227479926,7.472610412330225
瘥,773,80,4.421995953064673,4.82139388974998
壮,768,80,3.8439768495429854,3.584570468655236
月,747,80,6.114212228293085,5.075671941888673
实,747,80,4.7313432787799,5.08304086907761
肿,746,80,5.606170104037798,6.247698221920061
满,739,80,6.1998480127365045,4.805676837584826
儿,736,80,7.147763355600288,2.8826262940593796
所,735,80,5.9208796008182025,5.74544759552916
纳,732,80,6.518135308055267,5.928309736128679
肉,731,80,6.770603839385566,6.088493569599663
诸,720,80,5.522152651702884,5.51932527616277
亦,720,80,5.220575445230941,6.980158250589821
止,719,80,5.42881593994511,4.837321181705103
疮,712,80,5.432084357963085,6.041862758468616
细,711,80,3.19310712011767,5.788147066141246
赤,710,80,5.070582105733227,5.9236130871399
多,706,80,6.29868094138791,6.919913941728018
麻,705,80,3.113229854935621,4.172347021147697
散,679,80,5.815186948407986,6.861879791664434
入,671,80,6.387062923857706,6.960538183139044
膏,667,80,5.247734357813488,4.5647249301744575
法,666,80,5.3663158748113515,5.58973326000048
皆,658,80,6.878868510611431,6.543796544731926
凡,654,80,6.974542161893662,2.4923927579859475
汗,640,80,4.0608024723835845,5.163371011961634
敷,637,80,3.3035596472416544,6.000449035950878
蜜,629,80,3.117049107205662,4.168582302541294
能,628,80,6.214401400830367,2.1801354805796818
云,627,80,7.365185653983462,4.870412697917258
豆,627,80,5.582544918483402,2.9520269970071276
身,620,80,5.450933061516824,6.23479315240769
吐,620,80,5.093024886756522,6.174065813858019
前,616,80,5.964746795973029,5.754169415880845
煎,607,80,4.830114897099448,5.422323522310439
面,602,80,5.786723833552971,5.505407006262486
香,594,80,4.093133591719787,4.95101244502075
急,590,80,6.049658632532888,6.211443153883506
是,589,80,6.080345052965516,6.035188164331081
肾,581,80,5.27673772459655,5.048010599766591
欲,579,80,6.367127370428298,6.207708909473196
内,579,80,6.305680719869285,6.374706009111679
先,578,80,5.527807726942175,5.752835621518921
恶,569,80,5.746365818892988,6.4603402835271035
行,562,80,6.508976484002802,6.165556730068502
冬,562,80,5.495434620913725,3.039221383362149
温,560,80,5.5322473741330995,6.004651964751187
门,551,80,3.6426858737389254,4.779013324328304
通,549,80,5.2509259675906375,4.114185200004223
捣,544,80,5.849496058227151,5.482816928309705
肠,541,80,4.354660580230745,3.53159065252686
经,534,80,5.931550694386499,5.875069716358301
利,530,80,5.667917418459948,4.484106457613863
微,530,80,5.497937990761866,6.263119137691657
脂,523,80,5.184631724649609,3.4106341826682356
知,523,80,4.900908968123428,3.626136459972507
苦,519,80,5.521019469941839,5.657813233719427
消,519,80,4.532528731402328,5.17899929499723
天,514,80,4.6370461594043695,5.69002681183172
铢,511,80,3.521640636343319,2.5894439570265204
相,509,80,5.384453364637925,6.690872247175481
数,502,80,6.092985800807442,6.531535484746748
胃,501,80,4.784147682271119,5.295880502080786
腑,496,80,2.5881586366275378,3.1242110039329534
勿,495,80,5.610987553487173,5.984287656176429
猪,495,80,3.818746234123918,4.700016368996142
外,494,80,5.474708802255216,6.147020065231447
肺,492,80,5.33333815504936,4.884807455860086
逆,491,80,5.660384425487388,4.583347361850766
夏,491,80,5.589971955368562,2.2733315512580954
乳,486,80,5.892207354671263,5.4308106567244945
久,470,80,5.78454231800144,5.443837876627415
胸,468,80,3.706732553109417,5.50145550907248
耳,467,80,4.95494759189957,6.605533030023634
复,465,80,6.3857801501067835,5.537112191588188
斤,458,80,5.027548427567698,2.6263176228205336
自,457,80,6.771856511415131,6.45795825753665
神,456,80,5.752169849001523,5.6400613709919805
肝,455,80,6.02763264679061,5.36432412975277
脾,455,80,4.950725910649741,4.734958573397224
故,451,80,6.490730826545358,5.643486949405945
火,450,80,5.39756750925693,5.471778626519631
与,449,80,7.009297582446441,6.683905814401673
青,449,80,5.721619427616712,5.848680027137613
烧,444,80,5.577211194325989,6.396642264573816
太,443,80,3.5188782431599694,4.83084201142478
针,440,80,4.525733743426065,5.388278584035398
度,435,80,5.743606763387034,3.9032598695893097
更,434,80,5.759719244776259,6.074549676057777
论,428,80,3.114587437997743,3.827804570614742
枣,422,80,4.0105806184254265,2.824987637357799
麦,422,80,3.0914040740803292,3.3674546915298276
愈,418,80,4.18225280934548,4.869986952880809
重,417,80,6.1618157504936635,5.795023402388146
色,414,80,5.6060213617418535,5.73361871038969
动,409,80,5.548438839303583,6.195946264169033
宜,407,80,5.441346948345844,5.927030999861999
尽,406,80,5.940216495189852,5.855398035518268
首,405,80,3.7254805569978675,3.2104170611023344
刺,401,80,6.110198142879366,5.7187110859853165
补,401,80,4.701200936214232,5.413623727278834
劳,399,80,5.545610016248162,5.038741342993364
夜,398,80,4.572698187148622,3.687787589063908
成,397,80,6.616361892031412,5.7320595443309355
年,396,80,5.639717511852206,4.669863504621723
须,393,80,6.249247832956366,5.3867374346900325
常,393,80,5.914641300128793,5.88444347406218
咳,392,80,3.4847816810080223,5.619335992375952
等,376,80,3.6343114216859744,6.421979131073076
见,374,80,6.134321278591469,5.490509442597849
切,370,80,5.717220709101687,4.446668351919283
烦,370,80,4.200500253454803,5.450176990410877
使,369,80,6.202978934844998,4.227300088572846
乃,367,80,5.957368955609415,6.439263762421065
鸡,367,80,3.5970507603543855,4.98848508733585
叶,366,80,5.284933819557717,4.541362384502271
间,358,80,5.862238165217176,5.366984560773426
痈,358,80,3.051071778519066,4.7076789010207145
乌,358,80,2.687900036860245,5.002773369035683
牛,354,80,3.6608009471634726,5.59967287843319
精,353,80,5.749825689779955,5.878427669885279
竹,352,80,2.9109204857399975,4.764014437649597
着,351,80,6.847237413532459,7.0322860197821715
起,350,80,5.566432663601311,6.522270944299649
息,350,80,5.564577861193825,4.483929893675318
解,345,80,4.977706432704354,4.8445768024029485
然,342,80,5.4204939776113825,5.9869724102242055
并,341,80,6.925664034917603,6.37152587597797
胡,341,80,3.904527284533823,3.1130163231701617
积,339,80,3.7280905160410334,5.431135830366627
丹,338,80,3.7314360621374254,4.467839730149807
产,338,80,2.5940695133716876,3.3708659550136364
连,336,80,5.217209841623785,2.3477536135648873
腰,336,80,3.6437649135415695,5.568605929737753
长,335,80,5.570140293798634,6.387334263977406
患,333,80,6.617820827469398,4.319722512296254
绝,330,80,4.802096542714163,5.72462520250652
痹,329,80,5.4276638254941,5.0654329365566095
脚,329,80,5.086003055630346,4.340173259353027
渴,328,80,4.477444539117599,3.651958349089824
过,327,80,4.9912838798019665,4.286743886423215
明,327,80,4.925010497102127,4.127786850394068
虫,326,80,5.946364836443932,5.192284849630491
穴,324,80,3.51669652398302,5.408343363973616
胆,323,80,5.109219575494131,4.186732867781872
胀,323,80,3.600261636053557,4.709078354341049
反,321,80,5.951343589963864,5.625801640724346
疾,317,80,5.558253132878382,5.606116325349077
宿,314,80,4.661342775408655,3.646583159781817
泽,312,80,2.7605676616029213,4.5490928369012895
极,311,80,5.919043453412884,5.499103016193967
处,311,80,5.604687772173554,6.0280368261179404
未,309,80,6.0989706995991115,6.412398869793322
余,307,80,5.587297477195782,4.528963922709144
谷,305,80,5.125311592379682,4.6839288363576
鼻,305,80,4.909661441042429,5.935816932013737
来,304,80,6.284286568309497,4.839870293872886
呕,302,80,3.6645964222585334,5.456822025090978
羊,301,80,4.13061002886426,4.500994547747166
良,301,80,3.5537075054237754,4.974310864333941
灰,300,80,5.173293378070463,4.825051910394228
